"strategy_id","strategy_name","experiment_name","variant","changed_component","status","gender_accuracy","gender_precision","gender_recall","gender_f1","age_mae","age_rmse","age_r2","samples","trainable_parameters","training_seconds","message","age_mae_0_12","age_mae_13_19","age_mae_20_39","age_mae_40_59","age_mae_60_plus","age_support_0_12","age_support_13_19","age_support_20_39","age_support_40_59","age_support_60_plus","test_samples","train_samples","validation_samples"
"E3","CNN simple multitarea","cnn_lambda_low","ablacion","lambda_age=0.001","COMPLETADO","0.8765813888107956","0.8765478134155273","0.8765814304351807","0.8765211701393127","13.53713321685791","19.18216896057129","0.03300487995147705","3557","286755","487.06406289299775","","7.954502582550049","4.0615997314453125","6.929102897644043","21.525379180908203","44.159976959228516","509","197","1827","644","380","3557","16593","3555"
"E3","CNN simple multitarea","cnn_lambda_high","ablacion","lambda_age=0.1","COMPLETADO","0.8675850435760473","0.8700447082519531","0.8675850629806519","0.8669105768203735","8.783084869384766","12.248940467834473","0.6057007312774658","3557","286755","562.0542170260014","","8.832674980163574","8.389256477355957","5.3192830085754395","11.173619270324707","21.523094177246094","509","197","1827","644","380","3557","16593","3555"
"E4","ResNet18 congelada","resnet_frozen_base","base","ninguno","COMPLETADO","0.8394714647174585","0.839911699295044","0.8394714593887329","0.8395688533782959","10.88820743560791","14.417057991027832","0.4537616968154907","3557","1539","516.2496046250017","","12.685294151306152","10.848897933959961","6.994695663452148","10.40827751159668","28.034393310546875","509","197","1827","644","380","3557","16593","3555"
"E4","ResNet18 congelada","resnet_frozen_no_augmentation","ablacion","sin aumentacion","COMPLETADO","0.8321619342142255","0.8328027129173279","0.8321619033813477","0.8322833776473999","10.914977073669434","14.422761917114258","0.45332932472229004","3557","1539","286.02685826800007","","12.825980186462402","11.023346900939941","7.070633411407471","10.248251914978027","27.912193298339844","509","197","1827","644","380","3557","16593","3555"
"E4","ResNet18 congelada","resnet_frozen_lambda_low","ablacion","lambda_age=0.001","COMPLETADO","0.8394714647174585","0.839911699295044","0.8394714593887329","0.8395688533782959","11.335783958435059","15.123515129089355","0.3989170789718628","3557","1539","489.607533145012","","14.826922416687012","10.797916412353516","6.281014919281006","11.40478229522705","31.124202728271484","509","197","1827","644","380","3557","16593","3555"
"E4","ResNet18 congelada","resnet_frozen_lambda_high","ablacion","lambda_age=0.1","COMPLETADO","0.8276637615968513","0.8316969871520996","0.827663779258728","0.826275110244751","10.511947631835938","14.013760566711426","0.4838947057723999","3557","1539","524.8037136070052","","11.192964553833008","9.98777961730957","6.8977789878845215","10.748717308044434","26.846763610839844","509","197","1827","644","380","3557","16593","3555"
"E5","ResNet18 fine-tuning","resnet_finetuning_base","base","ninguno","COMPLETADO","0.9114422265954456","0.9116243124008179","0.9114422798156738","0.9113446474075317","7.317354202270508","10.094026565551758","0.7322325706481934","3557","8395267","504.0000921949977","","5.122522354125977","6.449057579040527","5.263094425201416","9.68922233581543","16.56438446044922","509","197","1827","644","380","3557","16593","3555"
"E5","ResNet18 fine-tuning","resnet_finetuning_unfreeze_more","ablacion","mas bloques descongelados","COMPLETADO","0.9254990160247399","0.9255334138870239","0.9254990816116333","0.9255102872848511","6.618643283843994","9.435548782348633","0.7660283446311951","3557","10494979","515.3641974150087","","3.662975311279297","5.924261093139648","4.730090141296387","9.332204818725586","15.418861389160156","509","197","1827","644","380","3557","16593","3555"
"E5","ResNet18 fine-tuning","resnet_finetuning_lr_low","ablacion","learning rate menor","COMPLETADO","0.9086308687095868","0.9087551832199097","0.908630907535553","0.9086613655090332","14.011789321899414","19.850069046020508","-0.035506606101989746","3557","8395267","512.1964329460025","","5.382307529449463","3.4306721687316895","7.765208721160889","23.126953125","45.64131546020508","509","197","1827","644","380","3557","16593","3555"
"E5","ResNet18 fine-tuning","resnet_finetuning_lambda_high","ablacion","lambda_age=0.1","COMPLETADO","0.9165026707899916","0.9167913794517517","0.9165027141571045","0.9165477752685547","5.848046779632568","8.202996253967285","0.8231627345085144","3557","8395267","502.69051740200666","","3.7451441287994385","6.724602699279785","4.714115619659424","7.4366350173950195","10.969983100891113","509","197","1827","644","380","3557","16593","3555"
